luxes, temp, hum, curr, volt, power, dd,hh,mm
11811.84,20,59,0.32,14.83,4.75,21,8,57
5294.08,18,63,0.14,14.73,2.06,21,8,52
11704.32,18,63,0.3,14.81,4.44,21,8,47
8056.32,17,64,0.2,14.76,2.96,21,8,42
11489.28,17,66,0.28,14.81,4.07,21,8,37
7687.68,16,69,0.19,14.76,2.85,21,8,32
6850.56,14,76,0.19,14.75,2.73,21,8,27
5222.4,12,84,0.13,14.72,1.97,21,8,22
3448.32,12,82,0.08,14.7,1.23,21,8,17
6218.24,14,79,0.16,14.74,2.38,21,8,12
6919.68,13,82,0.15,14.73,2.23,21,8,7
3307.52,12,84,0.08,14.7,1.18,21,8,2
5813.76,10,98,0.12,14.72,1.8,21,7,57
3312.64,8,99,0.08,14.7,1.15,21,7,52
2808.32,8,100,0.06,14.68,0.93,21,7,47
1999.36,7,99,0.05,14.68,0.67,21,7,42
1555.2,7,100,0.04,14.68,0.54,21,7,37
1409.28,6,99,0.03,14.67,0.47,21,7,32
1168,6,100,0.03,14.66,0.37,21,7,27
960,5,99,0.02,14.67,0.27,21,7,22
820.48,5,100,0.02,14.66,0.24,21,7,17
644.16,5,99,0.01,14.65,0.17,21,7,12
489.28,5,100,0.01,14.66,0.13,21,7,7
330.56,5,99,0,14.66,0.05,21,7,2
185.44,5,100,0,14.65,0.04,21,6,57
80.72,5,99,0,14.65,0,21,6,52
25.02,5,100,0,9.36,0,21,6,47
7.13,5,99,0,4.09,0,21,6,42
1.77,5,100,0,1.2,0,21,6,37
0.49,5,99,0,0.35,0,21,6,32
0.15,5,100,0,0.12,0,21,6,27
0.02,5,99,0,0.04,0,21,6,22
0,5,100,0,0.01,0,21,6,17
0,5,99,0,0.01,0,21,6,12
0,5,100,0,0,0,21,6,7
0,5,99,0,0,0,21,6,2
0,5,100,0,0,0,21,5,57
0,5,99,0,0,0,21,5,52
0,5,100,0,0,0,21,5,47
0,5,99,0,0,0,21,5,42
0,5,100,0,0,0,21,5,37
0,5,99,0,0,0,21,5,32
0,5,100,0,0,0,21,5,27
0,5,99,0,0,0,21,5,22
0,6,100,0,0,0,21,5,17
0,6,99,0,0,0,21,5,12
0,6,100,0,0,0,21,5,7
0,6,99,0,0,0,21,5,2
0,6,100,0,0,0,21,4,57
0,6,99,0,0,0,21,4,52
0,6,100,0,0,0,21,4,47
0,6,99,0,0,0,21,4,42
0,6,100,0,0,0,21,4,37
0,6,99,0,0,0,21,4,32
0,6,100,0,0.01,0,21,4,27
0,6,99,0,0.01,0,21,4,22
0,6,100,0,0.01,0,21,4,17
0,7,99,0,0.01,0,21,4,12
0,7,100,0,0.01,0,21,4,7
0,7,99,0,0.01,0,21,4,2
0,7,100,0,0.01,0,21,3,57
0,7,99,0,0.01,0,21,3,52
0,6,100,0,0.01,0,21,3,47
0,6,99,0,0.01,0,21,3,42
0,7,100,0,0.01,0,21,3,37
0,7,99,0,0.01,0,21,3,32
0,7,100,0,0.01,0,21,3,27
0,7,99,0,0.01,0,21,3,22
0,7,100,0,0.01,0,21,3,17
0,7,99,0,0.01,0,21,3,12
0,7,100,0,0.02,0,21,3,7
0,7,99,0,0.02,0,21,3,2
0,7,100,0,0.02,0,21,2,57
0,7,99,0,0.02,0,21,2,52
0,7,100,0,0.02,0,21,2,47
0,7,99,0,0.02,0,21,2,42
0,7,100,0,0.02,0,21,2,37
0,7,99,0,0.02,0,21,2,32
0,7,100,0,0.02,0,21,2,27
0,7,99,0,0.02,0,21,2,22
0,8,100,0,0.02,0,21,2,17
0,8,99,0,0.02,0,21,2,12
0.01,8,100,0,0.02,0,21,2,7
0.01,8,99,0,0.02,0,21,2,2
0.01,8,100,0,0.03,0,21,1,57
0.01,8,99,0,0.03,0,21,1,52
0.01,8,100,0,0.03,0,21,1,47
0.03,8,99,0,0.03,0,21,1,42
0.01,8,100,0,0.03,0,21,1,37
0.01,9,99,0,0.03,0,21,1,32
0.01,9,100,0,0.03,0,21,1,27
0.01,9,99,0,0.03,0,21,1,22
0.01,9,100,0,0.03,0,21,1,17
0.03,9,99,0,0.03,0,21,1,12
0,9,100,0,0.01,0,21,1,7
0.01,9,99,0,0.02,0,21,1,2
0.03,9,100,0,0.03,0,21,0,57
0.03,9,99,0,0.04,0,21,0,52
0.01,9,100,0,0.03,0,21,0,47
0.03,9,99,0,0.04,0,21,0,42
0.03,9,100,0,0.03,0,21,0,37
0,9,99,0,0.02,0,21,0,32
0.03,9,100,0,0.04,0,21,0,27
0.05,9,99,0,0.04,0,21,0,22
0.02,9,100,0,0.03,0,21,0,17
0.02,9,99,0,0.03,0,21,0,12
0.02,9,100,0,0.03,0,21,0,7
0.03,9,99,0,0.03,0,21,0,2
0.03,9,100,0,0.03,0,20,23,57
0.04,9,99,0,0.03,0,20,23,52
0.03,9,100,0,0.03,0,20,23,47
0.03,9,99,0,0.03,0,20,23,42
0.05,9,100,0,0.03,0,20,23,37
0.05,10,99,0,0.03,0,20,23,32
0.05,10,100,0,0.04,0,20,23,27
0.04,10,99,0,0.03,0,20,23,22
0.04,10,96,0,0.03,0,20,23,17
0.04,11,96,0,0.03,0,20,23,12
0.04,11,96,0,0.03,0,20,23,7
0.05,11,95,0,0.03,0,20,23,2
0.05,11,95,0,0.03,0,20,22,57
0.05,11,96,0,0.03,0,20,22,52
0.05,11,98,0,0.03,0,20,22,47
0.05,11,99,0,0.03,0,20,22,42
0.04,11,98,0,0.03,0,20,22,37
0.05,11,97,0,0.03,0,20,22,32
0.05,11,97,0,0.03,0,20,22,27
0.05,11,96,0,0.03,0,20,22,22
0.05,11,98,0,0.03,0,20,22,17
0.05,11,98,0,0.03,0,20,22,12
0.04,11,99,0,0.03,0,20,22,7
0.05,11,98,0,0.03,0,20,22,2
0.05,11,97,0,0.03,0,20,21,57
0.04,12,95,0,0.03,0,20,21,52
0.04,12,93,0,0.03,0,20,21,47
0.04,12,92,0,0.03,0,20,21,42
0.04,12,92,0,0.03,0,20,21,37
0.04,12,93,0,0.03,0,20,21,32
0.04,12,92,0,0.03,0,20,21,27
0.03,12,89,0,0.03,0,20,21,22
0.03,12,86,0,0.03,0,20,21,17
0.03,13,83,0,0.03,0,20,21,12
0.02,13,84,0,0.03,0,20,21,7
0.02,12,84,0,0.03,0,20,21,2
0.02,12,81,0,0.03,0,20,20,57
0.02,13,79,0,0.03,0,20,20,52
0.02,13,84,0,0.03,0,20,20,47
0.02,13,79,0,0.03,0,20,20,42
0.02,13,78,0,0.03,0,20,20,37
0.02,13,79,0,0.03,0,20,20,32
0.02,14,81,0,0.03,0,20,20,27
0.02,14,81,0,0.03,0,20,20,22
0.02,14,79,0,0.03,0,20,20,17
0.02,14,79,0,0.03,0,20,20,12
0.02,14,78,0,0.02,0,20,20,7
0.02,14,77,0,0.02,0,20,20,2
0.02,14,75,0,0.02,0,20,19,57
0.02,15,73,0,0.02,0,20,19,52
0.01,14,72,0,0.02,0,20,19,47
0.01,15,70,0,0.02,0,20,19,42
0.01,15,69,0,0.02,0,20,19,37
0.01,15,68,0,0.02,0,20,19,32
0.01,15,76,0,0.02,0,20,19,27
0.01,15,74,0,0.02,0,20,19,22
0,15,76,0,0.02,0,20,19,17
0,15,75,0,0.02,0,20,19,12
0,15,71,0,0.02,0,20,19,7
0,16,70,0,0.02,0,20,19,2
0,16,66,0,0.02,0,20,18,57
0,16,67,0,0.02,0,20,18,52
0.01,16,69,0,0.02,0,20,18,47
0.04,16,68,0,0.04,0,20,18,42
0.15,16,69,0,0.11,0,20,18,37
0.53,16,69,0,0.35,0,20,18,32
1.98,16,73,0,1.31,0,20,18,27
7.39,16,76,0,4.09,0,20,18,22
24.42,16,73,0,8.89,0.01,20,18,17
66.84,17,74,0,13.33,0.01,20,18,12
143.68,17,73,0,14.65,0,20,18,7
251.84,17,72,0,14.65,0.04,20,18,2
400,18,69,0,14.65,0.08,20,17,57
554.56,19,66,0.01,14.65,0.12,20,17,52
735.36,19,61,0.01,14.66,0.17,20,17,47
865.92,21,58,0.01,14.66,0.2,20,17,42
2144,22,56,0.02,14.66,0.24,20,17,37
2903.04,24,52,0.03,14.67,0.46,20,17,32
4423.68,24,52,0.05,14.68,0.69,20,17,27
5601.28,24,51,0.06,14.69,0.96,20,17,22
5841.92,24,51,0.09,14.69,1.28,20,17,17
6241.28,25,49,0.11,14.71,1.65,20,17,12
6522.88,25,49,0.11,14.72,1.61,20,17,7
7861.76,26,47,0.17,14.75,2.51,20,17,2
9251.84,27,45,0.19,14.76,2.82,20,16,57
10711.04,27,45,0.21,14.77,3.12,20,16,52
11612.16,27,44,0.23,14.78,3.44,20,16,47
11801.6,28,42,0.25,14.79,3.67,20,16,42
12144.64,29,41,0.27,14.81,3.99,20,16,37
12963.84,30,39,0.29,14.82,4.31,20,16,32
12994.56,30,37,0.31,14.82,4.56,20,16,27
13931.52,30,37,0.32,14.84,4.83,20,16,22
14714.88,30,37,0.34,14.85,5.07,20,16,17
15656.96,30,37,0.36,14.86,5.31,20,16,12
15805.44,30,38,0.37,14.87,5.52,20,16,7
17003.52,31,36,0.38,14.87,5.72,20,16,2
17623.04,31,36,0.4,14.88,5.9,20,15,57
19758.08,32,35,0.41,14.88,6.07,20,15,52
20879.36,34,29,0.42,14.89,6.23,20,15,47
21534.72,33,32,0.43,14.9,6.41,20,15,42
21626.88,34,31,0.44,14.91,6.58,20,15,37
21647.36,34,30,0.45,14.91,6.75,20,15,32
21391.36,34,32,0.46,14.91,6.87,20,15,27
21749.76,34,31,0.47,14.92,6.98,20,15,22
23398.4,35,30,0.48,14.93,7.1,20,15,17
25405.44,36,29,0.49,14.93,7.26,20,15,12
24954.88,36,29,0.5,14.93,7.39,20,15,7
24504.32,36,29,0.5,14.94,7.51,20,15,2
24248.32,36,29,0.51,14.95,7.63,20,14,57
23429.12,37,28,0.52,14.95,7.73,20,14,52
23296,37,28,0.52,14.95,7.83,20,14,47
24340.48,39,28,0.53,14.96,7.95,20,14,42
25333.76,37,27,0.54,14.96,8.06,20,14,37
26429.44,39,25,0.55,14.96,8.15,20,14,32
27996.16,40,25,0.55,14.97,8.22,20,14,27
28487.68,39,25,0.55,14.97,8.28,20,14,22
28815.36,40,25,0.56,14.97,8.35,20,14,17
30197.76,38,25,0.57,14.98,8.55,20,14,12
32829.44,39,23,0.59,14.99,8.85,20,14,7
27504.64,39,23,0.5,14.94,7.55,20,14,2
19307.52,39,21,0.37,14.86,5.53,20,13,57
28057.6,43,18,0.5,14.94,7.49,20,13,52
35143.68,44,18,0.6,14.99,8.92,20,13,47
36812.8,43,20,0.6,14.99,8.92,20,13,42
40478.72,41,21,0.6,15,9.05,20,13,37
40478.72,40,21,0.62,15.01,9.32,20,13,32
32921.6,40,21,0.52,14.95,7.73,20,13,27
41000.96,41,21,0.61,15,9.2,20,13,22
40069.12,41,24,0.61,15.01,9.18,20,13,17
39710.72,39,27,0.61,15,9.11,20,13,12
40202.24,40,26,0.61,15,9.08,20,13,7
40222.72,40,26,0.59,15,8.91,20,13,2
41615.36,40,27,0.6,15,8.99,20,12,57
41123.84,38,28,0.6,15,8.95,20,12,52
40867.84,38,28,0.6,14.99,9,20,12,47
40222.72,38,30,0.6,15,9.01,20,12,42
39905.28,38,29,0.6,15,8.95,20,12,37
40355.84,41,27,0.6,15,9.04,20,12,32
39690.24,42,25,0.6,14.99,9,20,12,27
39485.44,42,25,0.6,15,9.02,20,12,22
38819.84,41,26,0.6,14.99,9.04,20,12,17
37427.2,41,28,0.58,14.98,8.67,20,12,12
36925.44,40,27,0.61,15,9.11,20,12,7
32675.84,40,28,0.57,14.98,8.49,20,12,2
32112.64,40,28,0.56,14.97,8.31,20,11,57
37437.44,38,30,0.6,15,9.04,20,11,52
37437.44,38,31,0.6,14.99,8.97,20,11,47
34600.96,35,34,0.6,14.99,8.92,20,11,42
34600.96,35,34,0.59,14.98,8.78,20,11,37
33914.88,37,31,0.58,14.98,8.69,20,11,32
34795.52,39,30,0.57,14.98,8.61,20,11,27
33976.32,37,31,0.57,14.98,8.59,20,11,22
31426.56,38,30,0.57,14.98,8.52,20,11,17
28835.84,38,31,0.56,14.97,8.46,20,11,12
26716.16,34,36,0.55,14.97,8.22,20,11,7
26941.44,33,37,0.56,14.97,8.38,20,11,2
28047.36,34,37,0.55,14.96,8.23,20,10,57
28200.96,34,35,0.54,14.96,8.13,20,10,52
29122.56,33,37,0.54,14.96,8.09,20,10,47
28416,34,36,0.53,14.95,7.97,20,10,42
27637.76,32,37,0.53,14.95,7.92,20,10,37
26368,33,36,0.53,14.95,7.88,20,10,32
25692.16,32,38,0.52,14.94,7.81,20,10,27
